mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
200,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
250,D,FREQU,Frequenz,L,False,2022-01-31 20:43:45.861987+00:00
000,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
001,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
050,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
100,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
200,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
250,D,POWER,Leistung,L,False,2022-01-31 20:43:45.861987+00:00
000,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
001,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
050,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
100,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
200,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
250,D,MOLMAS,Molmasse,L,False,2022-01-31 20:43:45.861987+00:00
000,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
001,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
050,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
100,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
200,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
250,D,MOLQU,Molmenge,L,False,2022-01-31 20:43:45.861987+00:00
000,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
001,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
050,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
100,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
200,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
250,E,PRESS,Pressure,L,False,2022-01-31 20:43:45.861987+00:00
000,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
001,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
050,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
100,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
200,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
250,E,FREQU,Frequency,L,False,2022-01-31 20:43:45.861987+00:00
000,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
001,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
050,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
100,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
200,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
